"country","year","average_life","cons_alc","cons_edu","GDP","internetuser","people","students","unemployers","workers","percent"
"netherlands","X2013",81.4,3.4,0.8,48.7371798688915,940,16780,NA,0.0385578069129917,0.493742550655542,0.03
"indonesia","X2013",68.7,NA,NA,10.0113574203639,149,251268,281,0.0294944043809797,0.448767849467501,0.03
"ireland","X2013",81.1,5.9,3.4,48.3867925070791,782,4591,459,0.061424526247005,0.409714659115661,0.03
"iceland","X2013",82.1,4.6,1.3,42.864551863354,965,322,618,0.031055900621118,0.537267080745342,0.03
"japan","X2013",83.3,2.7,2.1,37.2424349647596,882,126985,329,0.0208686065283301,0.496987833208647,0.03
"canada","X2013",81.8,3.4,1.6,44.0030031932105,858,35231,NA,0.0382333740172008,0.502142999063325,0.03
"lithuania","X2013",74.1,7,0.5,26.5645012449529,685,2972,562,0.0582099596231494,0.435060565275908,0.03
"luxembourg","X2013",81.9,8.3,1,96.4170793296089,938,537,NA,0.0279329608938547,0.445065176908752,0.03
"latvia","X2013",74.3,7.9,2.1,22.5492174407115,752,2024,492,0.0592885375494071,0.441699604743083,0.03
"malta","X2013",81.9,3.8,1.5,31.3880755344418,689,421,323,0.0285035629453682,0.418052256532067,0.03
"mexico","X2013",76.5,2.6,1.5,16.4809207499596,435,123740,292,0.021003717472119,0.398213997090674,0.03
"germany","X2013",80.6,3.2,0.8,45.3005016405047,842,80524,370,0.0270975113009786,0.490921961154438,0.03
"norway","X2013",81.8,3.9,0.5,67.3387379132845,951,5051,531,0.0182142150069293,0.515145515739458,0.03
"newzealand","X2013",81.4,5,1.4,35.9840924076148,828,4465,600,0.0304591265397536,0.498768197088466,0.03
"southafrica","X2013",56.7,NA,3.3,12.8277388696482,465,53417,219,0.0914690079937099,0.278300915438905,0.03
"portugal","X2013",80.9,3.2,1.3,27.8204626585296,621,10487,379,0.0815295127300467,0.422332411557166,0.03
"russia","X2013",70.4,8.1,1.3,NA,680,NA,550,NA,NA,0.03
"romania","X2013",75.2,NA,NA,19.8235254845155,498,20020,334,0.0326173826173826,0.427022977022977,0.03
"slovakia","X2013",76.6,5,1.6,27.9099489927925,779,5411,412,0.0713361670670856,0.430419515801146,0.03
"slovenia","X2013",80.5,5.5,1.4,29.54563729966,727,2059,500,0.049538610976202,0.440019426906265,0.03
"switzerland","X2013",82.9,3.6,0.6,60.1626464361239,863,8039,373,0.0255006841646971,0.554919766140067,0.03
"sweden","X2013",82,3.7,0.3,45.8852838949351,948,9556,482,0.0431142737547091,0.492360820426957,0.03
"turkey","X2013",74.9,NA,1.3,22.3578363044944,463,75627,683,0.0322900551390376,0.337445621272826,0.03
"hungary","X2013",75.8,8.2,1.6,24.3272233323241,726,9909,387,0.0445049954586739,0.39287516399233,0.03
"unitedkingdom","X2013",81.1,4.1,1.7,39.1530491870746,898,63905,398,0.0381503794695251,0.468727016665363,0.03
"italy","X2013",82.9,4.2,1,36.4634282566809,585,59685,339,0.0514199547625031,0.371801960291531,0.03
"argentina","X2014",76.2,NA,NA,19.8794939367148,647,42980,693,0.0275942298743602,0.364960446719404,0.04
"australia","X2014",82.3,3.5,4.6,46.9144150749301,840,23622,640,0.0315807298281263,0.488188976377953,0.04
"austria","X2014",81.6,3.4,0.8,48.8135966263077,810,8507,520,0.0287998119195956,0.483484189491007,0.04
"belgium","X2014",81.4,4.1,0.4,44.9080484661479,850,11181,469,0.0378320364904749,0.406403720597442,0.04
"brazil","X2014",74.4,NA,NA,16.2082446879337,546,206078,417,0.0357971253603005,0.482574559147507,0.04
"bulgaria","X2014",74.5,6.7,0.9,17.3377513938725,555,7246,416,0.053132762903671,0.411399392768424,0.04
"chile","X2014",81.5,NA,NA,22.690522513089,611,17763,703,0.0289365535101053,0.451162528852108,0.04
"croatia","X2014",77.9,NA,NA,21.9169955027078,686,4247,416,0.0769955262538262,0.368730868848599,0.04
"cyprus","X2014",82.8,5.9,2.6,30.2604671328671,693,858,417,0.0815850815850816,0.423076923076923,0.04
"czechrepublic","X2014",78.9,8.2,0.5,32.3987194824962,797,10512,423,0.0308219178082192,0.473173515981735,0.04
"denmark","X2014",80.7,3.7,0.8,47.945540145726,960,5627,561,0.0341212013506309,0.482317398258397,0.04
"estonia","X2014",77.4,8.6,0.4,28.5117223404255,842,1316,481,0.0379939209726444,0.474924012158055,0.04
"finland","X2014",81.3,4.7,0.4,41.5918090625573,924,5451,586,0.0425609979820216,0.448908457163823,0.04
"france","X2014",82.8,NA,NA,40.3152362985654,838,65942,387,0.0459949652725122,0.400291164963149,0.04
"greece","X2014",81.5,4.9,2.3,26.3469025899149,632,10927,645,0.116591928251121,0.32360208657454,0.04
"spain","X2014",83.3,4,1.8,33.6356378009976,762,46512,451,0.120614035087719,0.372893016855865,0.04
"netherlands","X2014",81.8,3.5,0.8,49.1168983243211,932,16829,NA,0.0392180165191039,0.489393309168697,0.04
"indonesia","X2014",68.9,NA,NA,10.5531781434831,171,254455,279,0.0284726179481637,0.457448271796585,0.04
"ireland","X2014",81.4,5.8,3.3,51.3905621580547,797,4606,468,0.0527572731220148,0.415544941380808,0.04
"iceland","X2014",82.9,4.4,1.3,44.4804742331288,982,326,NA,0.0276073619631902,0.54601226993865,0.04
"japan","X2014",83.6,NA,NA,37.4768252651918,891,126795,330,0.0186127213218187,0.500887258961315,0.04
"canada","X2014",82,3.4,1.6,45.0269946639317,871,35588,NA,0.0371473530403507,0.500224794874677,0.04
